class,kind,usa_addr,enclosing_func,func_name,note
REVIEW,getFrameCtrl+stfs,0x800f2768,0x800f2144,,rate f31 source not resolved in block
REVIEW,getFrameCtrl+stfs,0x801c2204,0x801c216c,,"computed rate (fadds f31,f1); AnmFrameRate in block — verify scaling/rate²"
REVIEW,getFrameCtrl+stfs,0x801c22b8,0x801c216c,,"computed rate (fadds f31,f1); AnmFrameRate in block — verify scaling/rate²"
REVIEW,getFrameCtrl+stfs,0x801c9940,0x801c9734,,"computed rate (fmuls f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,getFrameCtrl+stfs,0x801d2908,0x801d2880,,"computed rate (fsubs f2,f1); AnmFrameRate in block — verify scaling/rate²"
REVIEW,getFrameCtrl+stfs,0x801d291c,0x801d2880,,"computed rate (fsubs f2,f1); AnmFrameRate in block — verify scaling/rate²"
REVIEW,getFrameCtrl+stfs,0x801d412c,0x801d4068,,"computed rate (fmuls f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,setFrameRate,0x80206830,0x802064b0,,rate f1 source not resolved in block
REVIEW,getFrameCtrl+stfs,0x80212520,0x802123e0,,rate f31 source not resolved in block
REVIEW,getFrameCtrl+stfs,0x80212530,0x802123e0,,rate f31 source not resolved in block
